inside DefaultArgs : assigning default args
Network type:  uni
generating connection probabilities, NE, NI, K, thetaSig 1000 1000 100 0.75
generating  connectivity matrix... done!
Generating sparse representation ... done!
npost sum = 400891
convec sum =  400891
         125753 function calls (121864 primitive calls) in 0.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.069    0.069    0.069    0.069 {method 'uniform' of 'mtrand.RandomState' objects}
        5    0.061    0.012    0.061    0.012 {posix.open}
        1    0.037    0.037    0.057    0.057 RewireNetwork.py:39(GenSparseMat)
        1    0.036    0.036    0.640    0.640 RewireNetwork.py:1(<module>)
        1    0.033    0.033    0.033    0.033 {posix.system}
     2040    0.022    0.000    0.022    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       16    0.019    0.001    0.019    0.001 {method 'close' of 'file' objects}
       12    0.011    0.001    0.118    0.010 __init__.py:1(<module>)
        1    0.010    0.010    0.011    0.011 {cPickle.load}
       10    0.008    0.001    0.008    0.001 {method 'astype' of 'numpy.ndarray' objects}
   299/69    0.008    0.000    0.019    0.000 sre_parse.py:379(_parse)
        2    0.007    0.003    0.020    0.010 machar.py:113(_do_init)
        1    0.007    0.007    0.015    0.015 backend_tkagg.py:3(<module>)
     1709    0.006    0.000    0.006    0.000 {posix.lstat}
      208    0.006    0.000    0.009    0.000 sre_compile.py:207(_optimize_charset)
        1    0.005    0.005    0.006    0.006 Tkinter.py:31(<module>)
       11    0.005    0.000    0.006    0.001 collections.py:237(namedtuple)
   582/64    0.005    0.000    0.017    0.000 sre_compile.py:32(_compile)
        1    0.005    0.005    0.009    0.009 urllib.py:23(<module>)
        1    0.004    0.004    0.008    0.008 utils.py:4(<module>)
     3458    0.004    0.000    0.004    0.000 sre_parse.py:182(__next)
     3562    0.004    0.000    0.006    0.000 posixpath.py:60(join)
        1    0.004    0.004    0.037    0.037 pyparsing.py:59(<module>)
        1    0.004    0.004    0.059    0.059 __init__.py:99(<module>)
        1    0.004    0.004    0.190    0.190 mpl.py:1(<module>)
        1    0.003    0.003    0.003    0.003 linalg.py:10(<module>)
        1    0.003    0.003    0.004    0.004 socket.py:45(<module>)
        1    0.003    0.003    0.015    0.015 saxutils.py:4(<module>)
        1    0.003    0.003    0.010    0.010 numeric.py:1(<module>)
     1708    0.003    0.000    0.010    0.000 posixpath.py:140(lexists)
        1    0.003    0.003    0.094    0.094 axes.py:1(<module>)
        1    0.003    0.003    0.004    0.004 __init__.py:88(<module>)
